task_type	packages	locations	start_scan	stop_scan	shifts	scan_interval	credentials	scan_name	scan_desc	priority

############################
# Blackberry L3 Task
############################
#Inventory	BlackBerry Server (Windows)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	BlackBerryEnterpriseServerMSSQLConnection<BDNA,1>import-blackberry-good<BDNA,>BlackBerryEnterpriseServerMSSQLConnection<BDNA,1>import-blackberry-bad	Scan Test - Blackberry L3	Scan Test - Blackberry L3	Priority Scan

############################
# IBM DB2 L3 Task
############################
Inventory	IBM DB2 Database Server (UNIX)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	DB2Connection<BDNA,1>import-ssh-db2<BDNA,>DB2Connection<BDNA,1>import-adm-ssh-db2	Scan Test - IBM DB2 L3	Scan Test - IBM DB2 L3	Priority Scan

############################
# ESX L2 Task
############################
Inventory	VMware ESX	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	esx<BDNA,1>import-ESX-good<BDNA,>esx<BDNA,1>import-ESX-kchu<BDNA,>esx<BDNA,1>import-ESX-root2	Scan Test - ESX L2	Scan Test - ESX L2	Priority Scan

############################
# Informix L3 Task
############################
Inventory	Informix Database Server (UNIX)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	InformixDBAccessConnection<BDNA,1>import-ssh-good	Scan Test - Informix L3	Scan Test - Informix L3	Priority Scan

############################
# Level 1 Only Task
############################
Inventory	Basic Scan - Level 1 (no credentials required)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once		Scan Task All Level1		Normal Scan

############################
# MacOS L2 Task
############################
Inventory	Mac OS	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	sshForMac<BDNA,1>import-MacOS-good	Scan Test - MacOS L2	Scan Test - MacOS L2	Priority Scan

############################################
# SQL Server Task
############################################
Inventory	Microsoft SQL Server (Windows)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	MSSQLServerConnection<BDNA,1>import-mssql-good<BDNA,>MSSQLServerConnection<BDNA,1>import-mssql-blackberry<BDNA,>MSSQLServerConnection<BDNA,1>import-mssql-bad<BDNA,>MSSQLServerConnection<BDNA,1>import-adm-sql-sa<BDNA,>MSSQLServerConnection<BDNA,1>import-mssql-good2	Scan Test - Microsoft SQL Server	Scan Test - Microsoft SQL Server	Normal Scan

############################
# Oracle Applications L3 Task
############################
Inventory	Oracle Applications (UNIX)	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	OracleAppConnection<BDNA,1>import-ssh-good<BDNA,1>import-orapp-good<BDNA,>OracleAppConnection<BDNA,1>import-ssh-good<BDNA,1>import-orapp-bad	Scan Test - Oracle Applications L3	Scan Test - Oracle Applications L3	Priority Scan


############################
# SAP L3 Task
############################
Inventory	SAP Solution Manager	root.$bdna.project_Project_All	immediately	12/31/2132 00:00:00	always	once	SAPSolManConnection<BDNA,1>import-sapL3-bad	Scan Test - SAP L3	Scan Test - SAP L3	Priority Scan

############################
# SNMP L2 Task
############################
